;id;afavor;n;total;trimestre;perc_governismo
99;1141487;410.0;459.0;89.0;2023-03-31;100.0
100;1141516;344.0;430.0;80.0;2023-03-31;100.0
101;1141518;127.0;172.0;74.0;2023-03-31;
102;1141531;440.0;498.0;88.0;2023-03-31;71.0
103;1141555;304.0;370.0;82.0;2023-03-31;100.0
104;1143632;243.0;284.0;86.0;2023-03-31;100.0
105;1143942;277.0;309.0;90.0;2023-03-31;
106;1150418;430.0;524.0;82.0;2023-03-31;71.0
107;1152605;371.0;514.0;72.0;2023-03-31;63.0
108;1153423;386.0;433.0;89.0;2023-03-31;83.0
109;1156190;115.0;626.0;18.0;2023-03-31;50.0
110;1157130;436.0;487.0;90.0;2023-03-31;100.0
111;1160161;481.0;553.0;87.0;2023-03-31;86.0
112;1160510;220.0;248.0;89.0;2023-03-31;67.0
113;1160512;359.0;438.0;82.0;2023-03-31;100.0
114;1160517;373.0;403.0;93.0;2023-03-31;100.0
115;1160518;376.0;485.0;78.0;2023-03-31;88.0
116;1160527;318.0;357.0;89.0;2023-03-31;100.0
117;1160535;510.0;537.0;95.0;2023-03-31;100.0
118;1160538;545.0;559.0;97.0;2023-03-31;100.0
119;1160541;42.0;50.0;84.0;2023-03-31;
120;1160548;530.0;568.0;93.0;2023-03-31;100.0
121;1160552;74.0;158.0;47.0;2023-03-31;
122;1160553;243.0;255.0;95.0;2023-03-31;100.0
123;1160556;566.0;574.0;99.0;2023-03-31;100.0
124;1160558;135.0;516.0;26.0;2023-03-31;75.0
125;1160559;334.0;499.0;67.0;2023-03-31;100.0
126;1160561;20.0;99.0;20.0;2023-03-31;
127;1160569;431.0;442.0;98.0;2023-03-31;
128;1160575;614.0;646.0;95.0;2023-03-31;67.0
129;1160588;309.0;363.0;85.0;2023-03-31;67.0
130;1160591;199.0;393.0;51.0;2023-03-31;60.0
131;1160592;470.0;482.0;98.0;2023-03-31;100.0
132;1160598;409.0;466.0;88.0;2023-03-31;71.0
133;1160599;410.0;507.0;81.0;2023-03-31;75.0
134;1160600;348.0;422.0;82.0;2023-03-31;100.0
135;1160601;120.0;524.0;23.0;2023-03-31;50.0
136;1160604;477.0;492.0;97.0;2023-03-31;100.0
137;1160610;472.0;482.0;98.0;2023-03-31;100.0
138;1160629;511.0;577.0;89.0;2023-03-31;86.0
139;1160632;387.0;440.0;88.0;2023-03-31;86.0
140;1160635;384.0;425.0;90.0;2023-03-31;83.0
141;1160640;135.0;516.0;26.0;2023-03-31;71.0
142;1160642;131.0;531.0;25.0;2023-03-31;71.0
143;1160665;470.0;538.0;87.0;2023-03-31;71.0
144;1160666;454.0;530.0;86.0;2023-03-31;86.0
145;1160673;139.0;548.0;25.0;2023-03-31;43.0
146;1160674;239.0;270.0;89.0;2023-03-31;100.0
147;1160758;139.0;473.0;29.0;2023-03-31;100.0
148;1160976;418.0;497.0;84.0;2023-03-31;100.0
149;1161440;142.0;539.0;26.0;2023-03-31;71.0
150;1161550;120.0;410.0;29.0;2023-03-31;67.0
151;1162067;500.0;513.0;97.0;2023-03-31;100.0
152;1162332;365.0;442.0;83.0;2023-03-31;80.0
153;1163321;293.0;383.0;77.0;2023-03-31;
154;1165470;143.0;516.0;28.0;2023-03-31;83.0
155;1166402;127.0;491.0;26.0;2023-03-31;71.0
156;1171617;519.0;530.0;98.0;2023-03-31;100.0
157;1171623;164.0;184.0;89.0;2023-03-31;80.0
158;1171786;475.0;491.0;97.0;2023-03-31;100.0
159;1175765;96.0;131.0;73.0;2023-03-31;
160;1178829;162.0;583.0;28.0;2023-03-31;60.0
161;1178835;511.0;581.0;88.0;2023-03-31;100.0
162;1178843;370.0;457.0;81.0;2023-03-31;80.0
163;1178854;136.0;165.0;82.0;2023-03-31;100.0
164;1178857;478.0;490.0;98.0;2023-03-31;100.0
165;1178858;419.0;485.0;86.0;2023-03-31;100.0
166;1178860;327.0;426.0;77.0;2023-03-31;
167;1178866;490.0;505.0;97.0;2023-03-31;100.0
168;1178871;96.0;509.0;19.0;2023-03-31;63.0
169;1178873;654.0;668.0;98.0;2023-03-31;100.0
170;1178876;318.0;402.0;79.0;2023-03-31;75.0
171;1178881;379.0;494.0;77.0;2023-03-31;71.0
172;1178884;153.0;193.0;79.0;2023-03-31;
173;1178886;72.0;90.0;80.0;2023-03-31;
174;1178887;628.0;642.0;98.0;2023-03-31;100.0
175;1178895;411.0;482.0;85.0;2023-03-31;
176;1178896;223.0;293.0;76.0;2023-03-31;50.0
177;1178908;111.0;458.0;24.0;2023-03-31;50.0
178;1178910;164.0;569.0;29.0;2023-03-31;63.0
179;1178927;318.0;341.0;93.0;2023-03-31;100.0
180;1178929;296.0;507.0;58.0;2023-03-31;50.0
