coluna
casa
datanascimento
em_exercicio
email
endereco
genero
id_parlamentar
id_parlamentar_voz
naturalidade
nome_eleitoral
parlamentarpartido_idpartido
parlamentarpartido_sigla
parlamentarpartido_tipo
raca
telefone
transparenciaparlamentar
transparenciaparlamentar_estrelas
uf
ultima_legislatura
unnamed__1
